vor_id,ident,region,lonx,laty
1643,BJB,K5,-88.12518889,43.42198056
1644,BMI,K5,-88.93126667,40.48080556
1645,BQM,K5,-85.66474167,38.23021944
1646,BSV,K5,-81.43211667,40.74070556
1647,BUD,K5,-83.06382778,40.61659722
1648,BUU,K5,-88.30177778,42.689325
1649,BVT,K5,-87.069375,40.55617222
1650,BWG,K5,-86.44343333,36.92874167
1651,BXZ,K5,-84.18378056,44.24291111
1652,CCT,K5,-87.2637,37.38241944
1653,CGG,K5,-84.72859722,44.68141944
1654,CGT,K5,-87.57154722,41.51000556
1655,CMI,K5,-88.27606111,40.03452778
1656,CMX,K5,-88.48539444,47.17025833
1657,CNG,K5,-88.83691389,37.00860833
1658,CRL,K5,-83.45758333,42.04802778
1659,CTW,K5,-81.47647778,40.22920833
1660,CVG,K5,-84.70334722,39.01598056
1661,CXR,K5,-81.16318611,41.51692778
1662,DJB,K5,-82.16196944,41.35806389
1663,DLL,K5,-89.76362222,43.55083333
1664,DNV,K5,-87.55726111,40.29376667
1665,DPA,K5,-88.35017222,41.89036389
1666,DQN,K5,-84.39689722,40.01644444
1667,DXO,K5,-83.36666389,42.21313611
1668,EAU,K5,-91.47853611,44.89766944
1669,ECB,K5,-82.91005556,38.15836389
1670,ECK,K5,-82.71793056,43.25588611
1671,ELX,K5,-86.12270556,42.14441111
1672,ENL,K5,-89.15899722,38.42
1673,ENW,K5,-87.93172778,42.59905833
1674,EON,K5,-87.79105278,41.26963333
1675,ERY,K5,-85.46356111,46.31245833
1676,ESC,K5,-87.08959722,45.72263611
1677,EWO,K5,-85.67587778,37.63181111
1678,FAH,K5,-87.84876944,43.76878611
1679,FBC,K5,-83.756025,40.95533333
1680,FFO,K5,-84.05552778,39.81900556
1681,FFT,K5,-84.90862222,38.18242222
1682,FLM,K5,-84.31060278,38.64944167
1683,FNT,K5,-83.74696667,42.96677222
1684,FTK,K5,-85.97256389,37.90721667
1685,FWA,K5,-85.18805833,40.97906389
1686,GBG,K5,-90.43446389,40.93734444
1687,GIJ,K5,-86.31845,41.76861111
1688,GLR,K5,-84.70427778,45.01248611
1689,GRB,K5,-88.19485556,44.55516111
1690,GSH,K5,-86.02795278,41.52515556
1691,GUS,K5,-86.15170833,40.64490833
1692,GVR,K5,-85.47064444,38.75833889
